"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"+24V";"TP5000-TESTPOINT-BLK";"TP5000-TESTPOINT-BLK";"TP3";"TEST POINT";"";
"1";"+5V";"TP5000-TESTPOINT-BLK";"TP5000-TESTPOINT-BLK";"TP4";"TEST POINT";"";
"6";"0.1uF";"C-USC0805";"C0805";"C13, C14, C15, C16, C17, C18";"CAPACITOR, American symbol";"";
"3";"0.22uF";"C-USC0805";"C0805";"C4, C5, C6";"CAPACITOR, American symbol";"";
"3";"1K";"R-US_R0805";"R0805";"R4, R5, R6";"RESISTOR, American symbol";"";
"9";"1uF";"C-USC0805";"C0805";"C7, C8, C9, C10, C11, C12, C19, C20, C21";"CAPACITOR, American symbol";"";
"3";"220";"R-US_R0805";"R0805";"R7, R8, R9";"RESISTOR, American symbol";"";
"3";"4.7uF";"C-USC0805";"C0805";"C1, C2, C3";"CAPACITOR, American symbol";"";
"3";"47K";"R-US_R0805";"R0805";"R1, R2, R3";"RESISTOR, American symbol";"";
"3";"6.8uH WURTH-744032006";"INDUCTOR-WURTH-744032006";"WURTH-1210-INDUCTOR";"L1, L2, L3";"";"";
"1";"A-ON";"TP5000-TESTPOINT-BLK";"TP5000-TESTPOINT-BLK";"TP5";"TEST POINT";"";
"3";"AQY211G2S";"AQY212GSX";"SOP4_PAN";"Q1, Q2, Q3";"";"";
"1";"B-ON";"TP5000-TESTPOINT-BLK";"TP5000-TESTPOINT-BLK";"TP6";"TEST POINT";"";
"1";"C-ON";"TP5000-TESTPOINT-BLK";"TP5000-TESTPOINT-BLK";"TP7";"TEST POINT";"";
"2";"GND";"TP5000-TESTPOINT-BLK";"TP5000-TESTPOINT-BLK";"TP1, TP2";"TEST POINT";"";
"3";"ISO224ADWVR";"ISO224ADWVR";"DWV8_TEX";"U1, U2, U3";"";"";
"3";"MOLEX 0022112042";"PINHD-1X4-MOLEX-22112042";"1X04-MOLEX-22112042";"J5, J6, J7";"";"";
"3";"MOLEX-22112022";"PINHD-1X2-MOLEX-22112022";"1X02-MOLEX-22112022";"J2, J3, J4";"";"";
"1";"PHOENIX_1X16HDR_1985331";"PHOENIX_1X16HDR_1985331";"1985331";"J8";"PTSA 1,5/16-3,5-Z";"";
"1";"PMEG6030EVPX";"SCHOTTKY-PMEG6030EVPX";"DIO_PMEG6030EVPX";"D1";"PMEG6030 Series 60 V 3 A Surface Mount Schottky Barrier Rectifier - SOD-128";"";
"1";"POWER_JACKPJ-102AH";"POWER_JACKPJ-102AH";"PJ-102AH";"J1";"Power Jack Connector";"";
"3";"RECOM-RS6-2415S";"DC-DC-15V-RECOM-RS6-2415S";"CONV_RS6-2415S";"PS1, PS2, PS3";"6 Watt";"";
"1";"TSR_1-2450";"TSR_1-2450";"CONV_TSR_1-2450";"PS4";"";"";
